,Postal Code,Borough,Neighborhood
113,M6R,West Toronto,"Parkdale, Roncesvalles"
114,M7R,Mississauga,Canada Post Gateway Processing Centre
115,M8R,Not assigned,Not assigned
116,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
117,M1S,Scarborough,Agincourt
118,M2S,Not assigned,Not assigned
119,M3S,Not assigned,Not assigned
120,M4S,Central Toronto,Davisville
121,M5S,Downtown Toronto,"University of Toronto, Harbord"
122,M6S,West Toronto,"Runnymede, Swansea"
123,M7S,Not assigned,Not assigned
124,M8S,Not assigned,Not assigned
125,M9S,Not assigned,Not assigned
126,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
127,M2T,Not assigned,Not assigned
128,M3T,Not assigned,Not assigned
129,M4T,Central Toronto,"Moore Park, Summerhill East"
130,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
131,M6T,Not assigned,Not assigned
132,M7T,Not assigned,Not assigned
133,M8T,Not assigned,Not assigned
134,M9T,Not assigned,Not assigned
135,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
136,M2V,Not assigned,Not assigned
137,M3V,Not assigned,Not assigned
138,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
139,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
140,M6V,Not assigned,Not assigned
141,M7V,Not assigned,Not assigned
142,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
143,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
144,M1W,Scarborough,"Steeles West, L'Amoreaux West"
145,M2W,Not assigned,Not assigned
146,M3W,Not assigned,Not assigned
147,M4W,Downtown Toronto,Rosedale
148,M5W,Downtown Toronto,Stn A PO Boxes
149,M6W,Not assigned,Not assigned
150,M7W,Not assigned,Not assigned
151,M8W,Etobicoke,"Alderwood, Long Branch"
152,M9W,Etobicoke,"Northwest, West Humber - Clairville"
153,M1X,Scarborough,Upper Rouge
154,M2X,Not assigned,Not assigned
155,M3X,Not assigned,Not assigned
156,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
157,M5X,Downtown Toronto,"First Canadian Place, Underground city"
158,M6X,Not assigned,Not assigned
159,M7X,Not assigned,Not assigned
160,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
161,M9X,Not assigned,Not assigned
162,M1Y,Not assigned,Not assigned
163,M2Y,Not assigned,Not assigned
164,M3Y,Not assigned,Not assigned
165,M4Y,Downtown Toronto,Church and Wellesley
166,M5Y,Not assigned,Not assigned
167,M6Y,Not assigned,Not assigned
168,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
169,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
170,M9Y,Not assigned,Not assigned
171,M1Z,Not assigned,Not assigned
172,M2Z,Not assigned,Not assigned
173,M3Z,Not assigned,Not assigned
174,M4Z,Not assigned,Not assigned
175,M5Z,Not assigned,Not assigned
176,M6Z,Not assigned,Not assigned
177,M7Z,Not assigned,Not assigned
178,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
179,M9Z,Not assigned,Not assigned
